game_name,reviews_like_rate,all_reviews_number,user_defined_tags,,
Minecraft Legends,59,2486,"Strategy, Action, Fantasy, Tactical",,
Age of Wonders 4,82,13374,"Strategy, Fantasy, RPG, Turn-Based, ",,
Feed and Grow: Fish,78,18030,"Simulation, Survival",,
Haydee 3,84,228,"Shooter, Platformer",,
SUPERVIVE,89,17548,"Shooter, Survival, Strategy, Action",,
ZED ZONE,81,3171,"Early Access, Survival, Open World, RPG, Simulation, Shooter",,
ASKA,79,6118,"Early Access, Crafting, Simulation, Open World, Survival",,
M.A.R.S.,63,1089,"Shooter, Action",,
The Witch of Fern Island,69,610,"Adventure, Simulation, Cute",,
The Expanse: A Telltale Series,78,1678,"RPG, Adventure",,
Ecosystem,78,502,"Automation, Simulation, Sandbox, Realistic",,
Sid Meier's Civilization¬Æ V,95,123858,"Strategy, Turn-Based, Simulation, Management",,
Kingdom's Deck,79,251,"Building, Card Game, Survival, RPG, Simulation",,
BloodRayne 2: Terminal Cut,79,798,"Action, RPG, Combat",,
"Warhammer 40,000: Chaos Gate - Daemonhunters",77,10044,"Turn-Based, Strategy, Tactical",,
DOOM 3,85,8114,"FPS, Horror, Action",,
Sniper Ghost Warrior 3,67,14185,"Open World, FPS, Stealth",,
Stranded: Alien Dawn,85,8565,"Survival, Building, Simulation, Strategy",,
Drift86,91,5243,"Driving, Simulation",,
SULFUR,86,4145,"Early Access, Action, Roguelike, FPS",,
Bopl Battle,97,15803,"2D, Fighting, Action",,
Stronghold Crusader HD (2012),97,16448,"Building, Tactical, Simulation, War, Management, Sandbox",,
OneShot,98,48584,"Story Rich, Pixel Graphics, Cute, Puzzle, RPG",,
Better Mart,93,140,"Simulation, Sandbox, Management",,
DreadOut,77,4279,"Horror, Adventure, Survival",,
Tom Clancy's Ghost Recon¬Æ Breakpoint,72,30174,"Open World, Action, Shooter",,
Dark Messiah of Might & Magic,89,8382,"RPG, Action, Fantasy, Combat",,
Only Up: SKIBIDI TOGETHER,77,396,"Horror, Platformer",,
Grocery Store Simulator,92,4624,Simulation,,
WAVESHAPER,89,1600,"Action, 2D, Platformer",,
Spilled!,95,2165,"Adventure, Simulation, Cute",,
SCUM,75,88234,"Early Access, Open World, Survival, Crafting, FPS",,
DOOM + DOOM II,96,21657,"FPS, Action",,
Half-Life 2,97,180435,"FPS, Action, Story Rich",,
Bendy and the Dark Revival,93,11573,"Horror, Action, Stealth, Survival",,
Blasphemous 2,91,10993,"Combat, Fantasy, Souls-like, 2D",,
Hades' Star,72,2573,"Strategy, Tactical",,
Sonic Adventure DX,92,13965,"Platformer, Adventure, Open World",,
Furnish Master,81,743,"Early Access, Sandbox, Building, Simulation",,
Only Up: LIZARDS MUST FALL,80,248,"Adventure, Simulation, Platformer",,
Milk inside a bag of milk inside a bag of milk,96,27521,"Visual Novel, Horror, Anime",,
Prince of Persia¬Æ,78,3281,"Action, Adventure, Platformer",,
Half-Life: Alyx,98,85255,"FPS, Story Rich, Horror, Action",,
Need for Speed‚Ñ?Unbound,61,39817,"Driving, Open World, Action, Sports, Simulation, Combat",,
INFRA,88,3014,"Puzzle, Adventure, Simulation",,
Puck,85,2599,"Sports, Simulation",,
Town of Salem,88,30999,"Strategy, RPG",,
GUILTY GEAR Xrd REV 2,94,7614,"Fighting, Anime, 2D",,
God Of Weapons,85,4170,"Action, Roguelike, Management, RPG",,
SpaceBourne 2,79,3920,"Early Access, RPG, Simulation, Building, Shooter, Management",,
"Warhammer 40,000: Battlesector",89,4228,"Strategy, Turn-Based, Tactical",,
The Ouroboros King,84,377,"Turn-Based, Tactical, Strategy",,
Soccer Online: Ball 3D,90,4079,"Sports, Simulation",,
Conan Exiles,78,72592,"Survival, Open World, Building, Crafting, Simulation, RPG",,
Call of Juarez: Bound in Blood,86,3918,"Action, FPS, Story Rich",,
Erzurum,41,4029,"Survival, Crafting, Open World",,
Biker Garage: Mechanic Simulator,68,430,"Driving, Sports, Simulation",,
Backpack Hero,86,6801,"Turn-Based, Management, Roguelike, Fantasy",,
Arken Age,89,305,"Adventure, Shooter, RPG, Combat",,
Zup! S,97,13896,"Puzzle, 2D",,
Survivalist: Invisible Strain,88,3177,"Open World, Survival, Crafting, Simulation, RPG",,
DEVIL'S WAY,50,77,"Puzzle, Platformer, Horror",,
Mechstermination Force,54,127,"Action, 2D, Platformer",,
One Hand Clapping,85,751,"Adventure, 2D, Platformer",,
The Last Stand: Aftermath,81,5434,"Survival, Roguelike, Shooter, Action",,
An Amazing Wizard,90,40,"Early Access, Combat, Action, Roguelike, RPG",,
DRAGON BALL XENOVERSE 2,90,39757,"Anime, Fighting, Action, RPG",,
DARK SOULS‚Ñ?II: Scholar of the First Sin,84,74109,"Souls-like, Fantasy, RPG, Action, Combat",,
Teenage Mutant Ninja Turtles: Mutants Unleashed,54,77,"Fighting, Action, Combat",,
Seeds of Calamity,96,27,"Early Access, Simulation, RPG",,
Morbid: The Lords of Ire,73,157,"Souls-like, Fantasy, Combat",,
Resident Evil 3,82,61402,"Action, Horror, Shooter, Survival",,
MotoGP‚Ñ?1,82,1280,"Driving, Simulation, Sports",,
Pacific Drive,83,16374,"Driving, Survival, Story Rich, Horror, Simulation",,
Total War: ROME REMASTERED,76,10980,"Turn-Based, Strategy",,
Captain Tsubasa: Rise of New Champions,71,4233,"Anime, Sports, RPG, Action",,
Mandragora: Whispers of the Witch Tree,65,1736,"Action, Souls-like, RPG, 2.5D",,
TrackDayR,84,1133,"Sports, Driving, Simulation",,
Test Drive Unlimited Solar Crown,36,4821,"Driving, Open World, Adventure, Simulation",,
Lobotomy Corporation | Monster Management Simulation,93,40248,"Management, Story Rich, Simulation",,
Aloft,83,1912,"Early Access, Survival, Crafting",,
JUMP KING QUEST,84,443,"Early Access, Souls-like, RPG, 2D, Platformer",,
Going Medieval,89,14719,"RPG, Early Access, Building, Simulation",,
Hotel Owner Simulator,75,83,"Simulation, Management",,
The Executive - Movie Industry Tycoon,80,668,"Management, Simulation, 2D",,
Dead Island Retro Revenge,60,528,"Action, Pixel Graphics, Combat",,
Scars Above,77,2111,"Action, Adventure, Shooter",,
FTL: Faster Than Light,95,59422,"Roguelike, Strategy, 2D, Simulation, Adventure",,
Dome Keeper,92,13970,"Roguelike, Action, Simulation, Combat, Management",,
"Warhammer 40,000: Mechanicus",92,10322,"Strategy, Turn-Based, Tactical",,
Batman: The Enemy Within - The Telltale Series,91,7736,"Adventure, Story Rich, Visual Novel, Combat",,
Creaks,95,4098,"Puzzle, 2D, Platformer",,
FPV Kamikaze Drone,88,8257,"Simulation, Action, War, FPS",,
FINAL FANTASY X/X-2 HD Remaster,89,16705,"JRPG, Turn-Based, Combat, Story Rich",,
Prey,90,34861,"Horror, FPS, Stealth",,
Far Cry¬Æ Primal,86,30761,"Open World, Survival, Action, Adventure, FPS",,
Street Fighter V,72,27338,"Fighting, Action, 2D",,
Wolfenstein: The New Order,91,41479,"FPS, Action, Stealth, War",,
League of Angels-Heaven's Fury,58,754,"MMORPG, Action, Combat",,
Keep Talking and Nobody Explodes,97,13158,Puzzle,,
Meet Your Maker,73,2951,"Action, Strategy, Building",,
The Past Within,94,13164,"Puzzle, Horror",,
Look Outside,99,2285,"RPG, Survival, Horror, Adventure, 2D",,
FlatOut 2,96,16323,"Driving, Combat, Simulation, Action",,
Daymare: 1998,70,3158,"Survival, Action, Horror, Shooter",,
Wolfenstein 3D,93,3364,"FPS, War, Action, 2.5D",,
LONESTAR,91,1768,"Roguelike, Strategy, Turn-Based, Tactical",,
Session: Skate Sim,83,12300,"Sports, Simulation",,
Crysis Remastered,76,12470,"Action, FPS, Stealth",,
The Devourer: Hunted Souls,81,462,"Early Access, Survival, Horror",,
Windward,80,2650,"Combat, Sandbox, RPG, Open World",,
The Exit 8,93,7937,"Simulation, Horror",,
The Silent Age,93,5874,"Adventure, Story Rich, Puzzle, Horror",,
Welcome to Maison Chichigami,90,243,"Sexual Content, RPG, Visual Novel",,
DRAGON QUEST BUILDERS,88,408,"JRPG, Platformer, Cute, Open World, Survival",,
Pax Dei,61,4236,"Early Access, Sandbox, MMORPG, Crafting",,
PICO PARK,91,22570,"Puzzle, Platformer, 2D",,
Holdfast: Nations At War,89,22569,"FPS, War, Action",,
King Arthur: Legends Rise,64,531,"Strategy, CRPG, Turn-Based, Tactical",,
911 Operator,89,13961,"Simulation, Strategy, Management",,
Prince of Persia¬Æ: The Sands of Time,85,4243,"Action, Adventure, Platformer, Puzzle",,
Cooking Trip New Challenge,86,15,"Puzzle, Strategy, Management",,
XCOM: Enemy Unknown,93,38588,"Turn-Based, Tactical, Strategy, Building",,
Gym Simulator 24,85,2301,"Simulation, Management",,
Epic Roller Coasters,65,717,"Simulation, Driving",,
Only Way is Down,61,65,"Adventure, Platformer, Action",,
Fishing: North Atlantic - Enhanced Edition,76,2333,"Simulation, Open World",,
BloodRayne Betrayal: Fresh Bites,68,92,"Action, Platformer, 2D, Combat",,
Beholder,91,20321,"Strategy, Simulation, Story Rich",,
Eden Crafters,86,1306,"Early Access, Open World, Survival, Crafting, Automation",,
Skul: The Hero Slayer,93,48367,"Action, Roguelike, Pixel Graphics, 2D",,
Maximum Action,90,3497,"Action, FPS",,
Heroes of Might & Magic V,87,3532,"Strategy, Turn-Based, Fantasy, RPG",,
Pioneers of Pagonia,84,3605,"Early Access, Building",,
Endzone 2,68,525,"Building, Simulation, Sandbox, Strategy",,
Rebel Inc: Escalation,83,5717,"Strategy, Simulation, War",,
Deus Ex: Mankind Divided,76,29473,"Stealth, RPG, Story Rich, FPS",,
Decision Legacy Collection,89,85,"Action, Survival, RPG, 2D, Shooter, Roguelike",,
Artifact Seeker: Resurrection,81,596,"Action, Roguelike, Survival, RPG",,
Grey Hack,90,1515,"Simulation, Sandbox, Realistic",,
Supraland Six Inches Under,96,3214,"Puzzle, Platformer, Combat",,
The Bridge Curse 2: The Extrication,93,1855,"Story Rich, Horror, Stealth, Survival, Simulation",,
Eastward,83,13822,"Pixel Graphics, Story Rich, Adventure, RPG",,
Thronefall,96,19985,"Strategy, Building",,
ICBM,92,1565,"War, Strategy, Management, Tactical, Building",,
The Banner Saga,88,13079,"RPG, Turn-Based, Strategy, Tactical",,
Severed Steel,95,5858,"FPS, Platformer, Action",,
King Arthur: Knight's Tale,83,6085,"Tactical, RPG, Turn-Based, Fantasy",,
Mad Father,97,5217,"RPG, Horror, Anime",,
Lumberjacked,82,291,"Adventure, Simulation",,
Asgard's Fall ‚Ä?Viking Survivors,85,743,"Early Access, Action, Roguelike",,
Chevalier Historie,84,362,"RPG, Sexual Content, Adventure, Anime",,
Subnautica: Below Zero,90,88542,"Open World, Crafting, Survival, Horror, Adventure",,
EVE Online,73,36339,"Action, MMORPG, Open World, Management",,
PlateUp!,94,15832,"Management, Roguelike, Cute, Simulation",,
Five Hearts Under One Roof,91,3739,"Sexual Content, Simulation, Visual Novel, RPG",,
METAL GEAR SOLID 3: Snake Eater - Master Collection Version,86,3595,"Action, Adventure, Stealth, Shooter",,
Call of Duty¬Æ 2,93,8232,"War, Action, FPS",,
METAL GEAR & METAL GEAR 2: Solid Snake,84,423,"Action, Adventure, 2D, Platformer, Stealth",,
Mad Max,91,52191,"Open World, Combat, Driving, RPG",,
Car Detailing Simulator,76,945,"Simulation, Driving",,
Prototype‚Ñ?79,78,10684,"Action, Open World, Combat, Sandbox",,
Swordsman VR,70,608,Sinn Studio Inc.,,
[Chilla's Art] Shinkansen 0 | Êñ∞ÂππÁ∑?0Âè?86,81,887,"Horror, Adventure, Simulation",,
The Great War: Western Front‚Ñ?67,65,2412,"Strategy, War, Turn-Based, Tactical",,
The Complex,77,3031,Wales Interactive,,
Brothers in Arms: Hell's Highway‚Ñ?90,87,2075,"War, Action, FPS, Tactical",,
Prince of Persia: The Two Thrones‚Ñ?79,77,2200,"Action, Adventure, Platformer, Stealth, Combat",,
Granny Remake,82,981,FerriteLabs,,
Renaissance Kingdom Wars,74,116,Reverie World Studios,,
DCL - The Game,78,815,Drone Champions AG,,
Beyond Hanwell,76,503,Steel Arts Software Ltd,,
Sandwich Simulator,58,17,FiftyEight Studios,,
Maid of Sker,80,1596,Wales Interactive,,
Ludus Mortis,87,65,68k Studios,,
Kiosk,87,1257,Vivi,,
BORE BLASTERS,81,619,8BitSkull,,
Brothers: A Tale of Two Sons Remake,69,578,Avantgarden SRL,,
BioShock¬Æ 2,88,10950,2K Marin,,
Draw & Guess,83,30179,Acureus,,
Cheaters Cheetah,65,1124,Acmore Games,,
Asterigos: Curse of the Stars,79,2305,Acme Gamestudio,,
WWE 2K24,75,5640,Visual Concepts,,
Dark Deity,72,2354,Sword & Axe LLC,,
Reus,78,4739,Abbey Games,,
Death Crown,88,486,5WORD Team,,
Bad Parenting 1: Mr. Red Face,89,2488,2OO2,,
Warhammer: End Times - Vermintide,82,13363,Fatshark,,
I Am Your Beast,98,3461,Strange Scaffold,,
Lilia: The Fallen Flower in the Prison City,72,80,Acerola,,
Monica's Newlywed Life,89,124,Acerola,,
Anno 2205‚Ñ?69,69,5759,"Building, Strategy, Simulation",,
Hector: Badge of Carnage - Full Series,89,107,Adventure,,
Sea Chronicles,85,54,"Adventure, Simulation",,
Painkiller: Black Edition,89,1680,"Action, FPS, Horror",,
Swords & Souls: Neverseen,93,5065,"RPG, Turn-Based, Combat, Action",,
Melatonin,95,6516,"Cute, 2D",,
Richie's Plank Experience,80,595,"Simulation, Horror",,
Gloomhaven,83,12705,"Fantasy, Turn-Based, Combat",,
Loop Hero,92,32046,"Tactical, Roguelike, Pixel Graphics, RPG, Card Game, Management",,
Starbound,90,86367,"Open World, Crafting, Sandbox, Survival, 2D",,
Finnish Cottage Simulator,94,2225,"Early Access, Simulation",,
Lost Castle 2,77,6689,"Early Access, Roguelike, Adventure",,
NecroCity,40,52,"Strategy, Building",,
Age of Conquest IV,81,2747,"Strategy, Turn-Based, War",,
Lucky Tower Ultimate,93,1176,"Early Access, Action, Roguelike, RPG",,
BattleBlock Theater¬Æ,97,54637,"Platformer, Adventure",,
Far Cry¬Æ 2,76,15514,"Open World, FPS, Action",,
Hitchhiker - A Mystery Game,66,153,"Story Rich, Adventure",,
Dealer's Life 2,85,3651,"Management, Simulation",,
9 Days,67,1397,"Adventure, Action, Open World",,
Chaos Express: Delivery Simulator,81,75,"Early Access, Management, Simulation",,
Escape Dead Island,60,1136,"Adventure, Survival, Action, Combat, Open World",,
The Crimson Diamond,97,504,"Adventure, 2D",,
Swords and Sandals Crusader Redux,59,135,"Turn-Based, Tactical, Strategy, RPG, 2D",,
F.E.A.R. 3,69,6733,"FPS, Horror, Action",,
Death Must Die,90,19543,"Early Access, Action, Roguelike, RPG",,
Trackline Express,86,101,"Action, Roguelike, Survival",,
The Unholy Priest,88,124,"Early Access, Simulation, Horror",,
Necesse,94,14130,"Open World, Survival, Crafting, Sandbox",,
Hylics 2,97,2617,"RPG, Turn-Based, Combat",,
The Farmer Was Replaced,96,1496,"Automation, Simulation, Management, Sandbox",,
Sift Heads Cartels,92,56,"Action, Adventure, Fighting, 2D",,
Hellbreach: Vegas,76,450,FPS,,
Out of Orbit,75,65,"Early Access, Open World, Survival, Crafting, Adventure",,
CHAOS CODE -NEW SIGN OF CATASTROPHE-,88,224,"Action, 2D, Fighting, Anime",,
Hylics,98,6096,"RPG, Turn-Based, Combat",,
Nebulock,87,313,"Shooter, 2D",,
LOOTPLOT,96,55,"Strategy, Roguelike, 2D",,
Atomicrops,93,4567,"Action, Roguelike, Simulation, Survival",,
The Mr. Rabbit Magic Show,98,2768,"Adventure, Puzzle",,
Kingdom: New Lands,86,9586,"Roguelike, Survival, Building, Strategy",,
Who Pressed Mute on Uncle Marcus?,72,596,"Adventure, Visual Novel, Story Rich",,
Get a midnight snack without mom knowing,92,41,"Simulation, Horror",,
Daymare: 1994 Sandcastle,73,637,"Shooter, Horror",,
Whispers of the Eyeless,85,84,"Early Access, Roguelike, Adventure",,
Lakeview Cabin 2,96,503,"Horror, 2D, Action",,
Moving Houses,75,190,"Horror, Simulation",,
Polylithic,70,91,"Strategy, Simulation, Sandbox, Adventure",,
Tower of Time,83,2083,"Tactical, Turn-Based, RPG, Fantasy",,
They Are Coming,90,397,"Early Access, Action, Roguelike, Shooter",,
Enishia and the Binding Brand,85,703,"Sexual Content, JRPG, Anime",,
The Witcher: Enhanced Edition Director's Cut,89,57567,"RPG, Fantasy, Story Rich",,
The Rewinder 2,50,133,"Adventure, Story Rich, 2D",,
aMAZE Frozen,75,57,"Strategy, Puzzle, 2D",,
Grandpa High on Retro,88,240,"Action, Adventure, Shooter",,
Shadow Empire,85,1052,"Strategy, Simulation, RPG, War",,
Solar Ash,91,1135,"Action, Adventure, Platformer",,
9 Years of Shadows,79,1808,"Platformer, Adventure, Fantasy",,
Garage Flipper,43,44,"Simulation, Sandbox",,
MALL MANAGER SIMULATOR,59,32,"Simulation, Building",,
Train Valley World,69,205,"Management, Simulation, Strategy",,
Metal Bringer,88,768,"Roguelike, Action, RPG",,
Samorost 3,93,3873,"Story Rich, Adventure, 2D, Puzzle",,
Munch,66,80,"Roguelike, Adventure, RPG",,
The Bibites: Digital Life,97,90,"Early Access, Simulation, 2D",,
Heaven Dust 2,91,701,"Horror, Puzzle, RPG, Shooter",,
RAILGRADE,84,922,"Strategy, Simulation, Automation",,
Eternal Evil,75,482,"Survival, Horror",,
Vending Machine Business Simulator,74,134,"Early Access, Simulation, Management",,
Death and Taxes,87,6479,"Story Rich, Simulation, Strategy",,
Root,90,4003,"Strategy, War, Cute, Simulation, Turn-Based",,
Dead Estate,95,4955,"Action, Roguelike, Shooter, Horror",,
I Am Fish,75,2115,"Adventure, Simulation, Platformer",,
Mika and The Witch's Mountain,87,413,"Adventure, Open World",,
EvilVEvil,75,56,"FPS, Action, Fantasy",,
Botanicula,95,4493,"Adventure, Cute",,
Shining Princess Lapisphilia,94,19,"Sexual Content, Anime, JRPG",,
Airport X-Ray Simulator,90,135,"Early Access, Simulation, Management",,
Y. Village - The Visitors,80,143,"Action, Adventure, Horror",,
There Is No Game: Wrong Dimension,97,21611,"Adventure, Puzzle, 2D",,
Teddy's Haven - A Fantasy Inspired Shop Simulator,94,76,"Simulation, Management",,
SimplePlanes,93,9383,"Sandbox, Automation, Building",,
Duck Detective: The Secret Salami,95,4499,"Cute, Story Rich",,
Fury Unleashed,87,1788,"Roguelike, Action, Platformer",,
BZZZT,98,602,"Platformer, Pixel Graphics",,
Splodey,92,198,"Platformer, 2D, Fantasy",,
Hijacker Jack : ARCADE FMV,64,53,"Visual Novel, Action, Adventure, Story Rich",,
This Is the Police 2,77,4974,"Strategy, Story Rich, Turn-Based, Simulation",,
Anno 1503 History Edition,67,71,"Simulation, Strategy, Building",,
This Is the Police,83,8664,"Strategy, Management, Story Rich, Simulation",,
Anno 1701 History Edition,80,105,"Simulation, Strategy, Building",,
Shogun Showdown,95,4601,"Strategy, RPG, Turn-Based",,
Skarab,100,21,"Adventure, FPS",,
Rise of Gun,87,682,"Simulation, Building, Crafting",,
We Were Here Expeditions: The FriendShip,82,2797,"Puzzle, Cute, Adventure",,
Mia's Hunt,79,29,"Adventure, Horror, Survival, Early Access",,
Ithya: Magic Studies,97,613,"Fantasy, Simulation",,
Fun Hospital,63,578,"Strategy, Simulation",,
None Shall Intrude,76,565,"Strategy, Card Game, Roguelike",,
Total War: THREE KINGDOMS,82,59688,"Strategy, War, Turn-Based, Simulation",,
Enlisted,79,27830,"FPS, War, Action",,
Suit for Hire,94,486,"Early Access, Action, Shooter",,
Catan Universe,48,16029,"Strategy, Card Game",,
Toilet Chronicles,90,1267,"Adventure, Simulation, Adventure",,
Together After Dark,65,147,"Adventure, Simulation",,
PAC-MAN 256,94,1205,"Action, Roguelike",,
Lyca,81,361,Simulation,,
Vibrant Frame,87,24,"Simulation, Visual Novel",,
CHUCHEL,84,3373,"Cute, 2D",,
The Incredible Adventures of Van Helsing II,70,1891,"RPG, Action, Adventure, Roguelike",,
Dead Season,66,154,"Turn-Based, Combat",,
Bad 2 Bad: Apocalypse,77,696,"RPG, Action, War, Survival",,
Do Not Feed the Monkeys 2099,71,880,"Simulation, Strategy",,
Despotism 3k,81,954,"Strategy, Pixel Graphics, 2D, Simulation",,
Twilight Wars,77,144,"Turn-Based, Strategy, Tactical, RPG",,
Forsaken Frontiers,82,239,"Adventure, Horror, Action",,
Flower,79,4283,"Open World, Cute",,
Vagrus - The Riven Realms,85,1292,"Story Rich, Open World, 2D, RPG",,
Curse of the Dead Gods,84,7277,"Roguelike, Fantasy, Action",,
I Expect You To Die 3: Cog in the Machine,93,506,"Adventure, Action, Simulation, Puzzle",,
Global City,70,1189,"Strategy, Building, Management",,
Âí∏È±ºÊÆø‰∏ã / My journey,86,1647,"Visual Novel, Simulation, RPG",,
Them and Us,78,1031,"Survival, Horror, Shooter",,
If Found...,93,1413,"Visual Novel, Story Rich",,
Hero Siege,68,33176,"Action, RPG, Pixel Graphics, 2D, Roguelike",,
Cage of Roses,91,89,"Visual Novel, Simulation, RPG, Sexual Content",,
Turkish Throne,92,239,"Simulation, Strategy, Sandbox, 2D",,
Carry The Glass,77,1555,"Puzzle, Platformer, Adventure",,
Adorable Witch5 : Lingering,59,424,"Sexual Content, Anime, JRPG",,
Electrician Simulator,79,2601,Simulation,,
Nadir: A Grimdark Deckbuilder,63,232,"Roguelike, Card Game, RPG, Strategy, Turn-Based",,
NightSpawn,61,34,"Early Access, Adventure, Horror",,
Koira,94,128,"Adventure, Cute, Story Rich",,
Horse Farm Simulator,70,31,"Simulation, Management",,
HorrorVale,100,116,"RPG, Adventure, Horror",,
Minutescape,77,235,"Strategy, Survival, 2D, Roguelike",,
Incredible Dracula: Dark Carnival,91,12,"Puzzle, Building, Management",,
Quartermain and the Cult of Cthulhu,95,20,"FPS, Action, Adventure",,
River Towns,93,88,"Puzzle, Building, Strategy",,
art of rally,92,4782,"Simulation, Driving, Sports",,
SPACERIFT: Arcanum System,77,341,"Early Access, Open World, Crafting, Management, MMORPG",,
Trinoline All Ages Version,92,76,"Adventure, Visual Novel, Anime",,
Cortex Command,82,1947,"Strategy, Action, 2D",,
Breachway,75,925,"Early Access, Strategy, Simulation, War",,
Planet of Lana,93,4847,"Action, Puzzle, Platformer, 2D",,
Rosenkreuzstilette Freudenstachel,88,128,"Action, Anime, 2D, Platformer",,
Tomb Explorer VR,78,46,"Adventure, Action",,
ITORAH,72,544,"2D, Platformer, Action, Adventure",,
Victoria I Complete,71,214,Strategy,,
Titan Revenge,64,103,"MMORPG, Fantasy",,
Devil Daggers,96,7063,"FPS, Action",,
Farmer's Life,88,1983,"Sandbox, Simulation",,
PUSS!,92,1002,"Action, 2D, Platformer",,
X3: Terran Conflict,84,2022,"Simulation, Sandbox, Strategy",,
Jacksmith: Weapons and Warriors,97,610,"Crafting, Strategy, Management, Action",,
Gym Manager,76,152,"Simulation, Management",,
Tribe: Primitive Builder,79,577,"Simulation, Automation",,
Device Doctor Simulator 2024,64,114,"FPS, Simulation",,
Waifu App: 90 Days to Escape a Lonely Fate,87,116,"Sexual Content, JRPG, 2D",,
Airline Manager,70,2583,"Simulation, Strategy, 2D",,
Fallout 3,80,17053,"Open World, RPG, Adventure",,
Neo ATLAS 1469,63,36,"Simulation, Adventure, Fantasy",,
Dating Simulator,54,389,Simulation,,
Golden Lap,86,373,"Simulation, Management, Driving, 2D",,
Among Ashes,94,259,"Survival, Horror",,
Quake,96,12177,"FPS, Action",,
Idle Champions of the Forgotten Realms,77,14463,"Strategy, Management, RPG",,
Pathfinder: Kingmaker ‚Ä?Enhanced Plus Edition,77,26652,"Turn-Based, Fantasy, CRPG",,
Ultimate Solid,81,22,"Action, Adventure, Puzzle, 2D, Platformer",,
DISTRAINT: Deluxe Edition,93,7058,"Horror, Pixel Graphics, 2D",,
Islands of Insight,74,1493,"Platformer, Puzzle, Open World",,
Lost Light,57,25466,"Shooter, Survival",,
Lootun,94,708,"RPG, Automation, Crafting",,
Fears to Fathom - Norwood Hitchhike,88,2332,"Horror, Simulation",,
Northgard,86,51102,"Strategy, Simulation, Building",,
Clonizer,84,112,"Roguelike, Turn-Based, Combat",,
Arcana Heart 3 LOVEMAX SIXSTARS!!!!!! XTEND,85,260,"Action, 2D, Fighting, Anime",,
1 Million Zombies,90,41,"Action, Combat, Driving",,
Your Only Move Is HUSTLE,96,27030,"2D, Fighting, Turn-Based, Action, Strategy, Simulation",,
Rusty Lake Hotel,96,6047,"Puzzle, Adventure, Horror, 2D",,
MXGP 2020 - The Official Motocross Videogame,81,595,"Simulation, Sports, Driving",,
Follow the meaning,93,727,"Adventure, Puzzle, 2D",,
Heroes of Might & Magic V: Tribes of the East,92,2695,"Strategy, Turn-Based, Fantasy, RPG",,
Zup! F,96,7699,"Puzzle, 2D",,
Violent Horror Stories: anthology,86,481,"Simulation, Action, Horror",,
Trapper's Delight,93,248,"Strategy, Action",,
Another Try,55,260,"Adventure, Action, Crafting",,
Madness Cubed,77,974,"Action, Adventure",,
Antarctica 88,88,220,"Horror, Puzzle",,
Neongarten,88,35,"Strategy, Simulation, Building",,
I Am Bread,78,4715,"Simulation, Adventure, Cute",,
I WILL BE THERE,90,32,"Adventure, Survival, Simulation",,
Chippy,91,1001,"Roguelike, 2D",,
Moose Miners,68,425,"Simulation, Strategy, Management",,
Computer Repair Shop,66,494,Simulation,,
Super Lone Survivor,90,64,"Horror, Simulation, Pixel Graphics",,
of the Devil,99,1058,"Visual Novel, Anime",,
Final Outpost: Definitive Edition,83,66,"Strategy, Survival, Building",,
The Jackbox Survey Scramble,91,239,"Strategy, 2D, Cute",,
CRUEL,95,954,"Action, FPS, Roguelike",,
Swords and Sandals 2 Redux,78,514,"2D, Fighting, Turn-Based, Combat, RPG",,
Ludus,72,715,"Simulation, Action, RPG, Strategy",,
Fleeting Iris,72,517,"RPG, Adventure",,
Granny: Escape Together,80,605,"Horror, Puzzle",,
Craftomation 101: Programming & Craft,85,485,"Sandbox, Automation, Crafting, Building",,
The Thrill of the Fight - VR Boxing,95,3866,"Sports, Action, Fighting",,
CULTIC,98,6252,"FPS, Action",,
Laundry & Supermarket Simulator,90,43,"Simulation, Management",,
Let's Build a Zoo,89,3365,"Simulation, Pixel Graphics, Building, Strategy",,
Castle Doombad Classic,94,54,"Strategy, Puzzle, 2D",,
GRIDROAD,82,261,"Simulation, Strategy, Puzzle",,
Tyrant's Realm,86,728,"RPG, Action, Roguelike",,
Speed Dates,41,200,"Visual Novel, Simulation",,
Splendor,82,883,"Strategy, 2D, RPG, Combat, Open World",,
Nodebuster,97,11371,"Strategy, Simulation",,
Blood Omen 2: Legacy of Kain,67,983,"Action, Fantasy, Combat",,
Cassette Beasts,95,7632,"Turn-Based, Combat",,
Propagation VR,94,5619,"Action, Horror, FPS",,
112 Operator,89,5141,"Simulation, Realistic, Strategy",,
Revenge of the Mage,79,91,"Early Access, Action, RPG",,
Space Hulk: Tactics,63,870,"Strategy, Turn-Based",,
KARMA: The Dark World,91,2458,"Simulation, Horror",,
Coromon,86,5257,"Adventure, JRPG, 2D",,
Cinemaster Cinema Simulator,39,102,"Simulation, Management",,
Astor: Blade of the Monolith,70,105,"RPG, Adventure, Action, Combat",,
PROJECT 13,76,134,"Simulation, Horror, Adventure",,
Raji: An Ancient Epic,86,1944,"Action, Adventure",,
Survival: Fountain of Youth,85,3319,"Open World, Survival, Crafting, Building, Simulation",,
Cardboard Town,82,1588,"Building, Card Game",,
Treasure chest Corps-ÁµêÁïå„ÇíÁ∂≠ÊåÅ„Åô„Çã„Åü„ÇÅ„ÄÅÈ≠îÁâ©„ÇíÈÄÄÊ≤ª„Åó„Å?67,65,198,"Sexual Content, Action, Adventure",,
Murky Divers,88,3431,"Horror, Adventure, Survival",,
