game_name,reviews_like_rate,all_reviews_number,user_defined_tags,,
Sea of Stars,88,9911,"Pixel Graphics, JRPG, Turn-Based, Combat",,
Banishers: Ghosts of New Eden,85,4662,"RPG, Fantasy, Action, Adventure",,
Secret Neighbor: Hello Neighbor Multiplayer,87,14146,"Horror, Action, Adventure",,
Total War: SHOGUN 2,91,34710,"Strategy, Turn-Based, Tactical, Management",,
Cursed Deal,90,11,"Early Access, Survival, Horror",,
Storage Hunter Simulator,82,2365,"Early Access, Simulation, Management",,
Streamer Life Simulator 2,83,4750,"Early Access, Simulation, Open World, Management",,
Construction Simulator,82,8371,"Simulation, Building",,
Call of Duty¬Æ: Modern Warfare¬Æ 2 (2009),93,33260,"Action, FPS",,
Rappelz,58,142,"CRPG, Fantasy",,
NBA 2K Playgrounds 2,80,1375,Sports,,
Hades II,94,59916,"Early Access, RPG, Action, Roguelike",,
We Were Here Forever,91,14051,"Puzzle, Horror, Fantasy",,
MiSide,98,96639,"Anime, Story Rich, Horror, Simulation",,
UNO,71,39813,"Card Game, Strategy",,
Blood of Steel,75,6776,"RPG, Sandbox, Combat",,
KovaaK's,92,32140,"Action, Simulation, FPS",,
The Slormancer,81,5797,"Action, RPG, Pixel Graphics",,
PowerWash Simulator,97,45533,"Simulation, Sandbox",,
Battlefield‚Ñ?1,86,167852,"FPS, War, Action",,
Kingdom Two Crowns,90,25805,"Building, Strategy",,
Lost Records: Bloom & Rage,87,3381,"Visual Novel, Story Rich",,
Mortal Sin,95,3186,"Action, Roguelike, Combat, Fantasy, RPG",,
Sultan's Game,93,15152,"RPG, Simulation, Adventure, Strategy",,
Echo Point Nova,97,5424,"FPS, Adventure, Platformer",,
Lunacid,91,8124,"Fantasy, RPG, Combat",,
F1¬Æ Manager 2024,78,3436,"Strategy, Simulation, Driving, Sports",,
Earn to Die 2,92,1242,"Action, Driving, 2D, Platformer",,
Combat Master: Season 4,88,45421,"FPS, Action, Tactical",,
Palia,85,28425,"Simulation, Cute, Adventure, RPG",,
Prisoners,70,471,"Survival, Action, FPS, Strategy",,
shapez 2,98,9946,"Early Access, Simulation, Management, Strategy, Automation",,
Near-Mage,100,13,"Adventure, Story Rich, 2D, Visual Novel",,
Farming Simulator 19,94,63075,"Simulation, Realistic, Management",,
Kenshi,95,82376,"Open World, Sandbox, RPG, Survival, Strategy",,
Assassin's Creed Freedom Cry,76,2428,"Action, Adventure, Stealth, RPG, Open World",,
XCOM¬Æ 2,85,73704,"Turn-Based, Combat, Strategy, RPG",,
Counter-Strike,96,160050,"Action, FPS",,
Outlast,96,92624,"Horror, Survival, Adventure",,
Total War: ROME II - Emperor Edition,86,50232,"Turn-Based, Strategy, War, Tactical, Simulation",,
Microsoft Flight Simulator 2024,46,13090,"Simulation, Realistic, Sandbox",,
Strinova,75,25384,"Anime, Shooter, Action",,
Dead Island: Riptide Definitive Edition,76,5536,"Open World, FPS, Survival, Action",,
Cubic Odyssey,71,1274,"Open World, Survival, Crafting, Building",,
Abiotic Factor,96,22912,"Open World, Survival, Crafting",,
Cauldron,96,264,"Turn-Based, Strategy, RPG, Simulation",,
Le Mans Ultimate,79,6882,"Simulation, Driving, Realistic",,
Zompiercer,88,2705,"Early Access, Sandbox, FPS, Building, RPG",,
Max Payne 3,86,48172,"Action, Shooter",,
RuneScape: Dragonwilds,84,17081,"Open World, Survival, Early Access",,
Deadzone: Rogue,82,3540,"Early Access, Roguelike, FPS",,
Beat Saber,95,68164,"Combat, Action, Sports",,
Seed of the Dead: Sweet Home,83,2847,"Sexual Content, Anime, FPS",,
Chants of Sennaar,98,20281,"Puzzle, Adventure",,
Rev to Vertex,50,30,"Early Access, Driving, Simulation, Combat",,
Valfaris,86,1542,"Action, Platformer, Pixel Graphics, Shooter",,
AI LIMIT,92,13816,"Souls-like, Anime, Combat, RPG",,
No More Room in Hell 2,52,9110,"Early Access, Survival, Horror, Combat, FPS",,
Plague Inc: Evolved,94,49259,"Strategy, Simulation, 2D, Tactical",,
Totally Accurate Battle Simulator,97,127086,"Sandbox, Simulation, War",,
Used Cars Simulator,70,318,"Early Access, Driving, Simulation",,
